MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS
conv1,13.342199999999998,ms,53.31129999999999,ms,0.0,ms,0,ms,18816.0,kb,94080.0,kb,0.0,kb,0.0,kb,1
bn1,4.496600000000002,ms,13.484399999999999,ms,0.0,ms,0,ms,18816.0,kb,94081.0,kb,0.0,kb,0.0,kb,1
relu,4.1916,ms,8.334700000000002,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,1
maxpool,18.9654,ms,37.946799999999996,ms,0.0,ms,0,ms,14112.0,kb,42336.0,kb,0.0,kb,0.0,kb,1
conv1,8.2315,ms,32.9039,ms,0.0,ms,0,ms,4704.0,kb,23520.0,kb,0.0,kb,0.0,kb,1
bn1,1.0443999999999998,ms,3.1595999999999997,ms,0.0,ms,0,ms,4704.0,kb,23521.0,kb,0.0,kb,0.0,kb,1
relu,2.5143,ms,4.992900000000001,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,2
conv2,5.9018999999999995,ms,23.597600000000003,ms,0.0,ms,0,ms,4704.0,kb,23520.0,kb,0.0,kb,0.0,kb,1
bn2,1.0369,ms,3.1392999999999995,ms,0.0,ms,0,ms,4704.0,kb,23521.0,kb,0.0,kb,0.0,kb,1
conv1,9.2356,ms,36.9306,ms,0.0,ms,0,ms,4704.0,kb,23520.0,kb,0.0,kb,0.0,kb,1
bn1,1.0688,ms,3.2811000000000003,ms,0.0,ms,0,ms,4704.0,kb,23521.0,kb,0.0,kb,0.0,kb,1
relu,3.5375,ms,7.038200000000001,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,2
conv2,8.204799999999999,ms,32.8058,ms,0.0,ms,0,ms,4704.0,kb,23520.0,kb,0.0,kb,0.0,kb,1
bn2,1.1267,ms,3.4118000000000004,ms,0.0,ms,0,ms,4704.0,kb,23521.0,kb,0.0,kb,0.0,kb,1
conv1,5.9208,ms,23.6687,ms,0.0,ms,0,ms,2352.0,kb,11760.0,kb,0.0,kb,0.0,kb,1
bn1,0.6239,ms,1.9037999999999997,ms,0.0,ms,0,ms,2352.0,kb,11762.0,kb,0.0,kb,0.0,kb,1
relu,2.5103,ms,4.9859,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,2
conv2,8.4943,ms,33.9604,ms,0.0,ms,0,ms,2352.0,kb,11760.0,kb,0.0,kb,0.0,kb,1
bn2,0.7802000000000001,ms,2.3762000000000003,ms,0.0,ms,0,ms,2352.0,kb,11762.0,kb,0.0,kb,0.0,kb,1
0,3.0511999999999997,ms,12.185799999999999,ms,0.0,ms,0,ms,2352.0,kb,11760.0,kb,0.0,kb,0.0,kb,1
1,0.5907,ms,1.7980999999999996,ms,0.0,ms,0,ms,2352.0,kb,11762.0,kb,0.0,kb,0.0,kb,1
conv1,8.1392,ms,32.5358,ms,0.0,ms,0,ms,2352.0,kb,11760.0,kb,0.0,kb,0.0,kb,1
bn1,0.9569,ms,2.9144,ms,0.0,ms,0,ms,2352.0,kb,11762.0,kb,0.0,kb,0.0,kb,1
relu,2.3235,ms,4.6136,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,2
conv2,8.142900000000001,ms,32.55590000000001,ms,0.0,ms,0,ms,2352.0,kb,11760.0,kb,0.0,kb,0.0,kb,1
bn2,0.6606000000000001,ms,2.0144,ms,0.0,ms,0,ms,2352.0,kb,11762.0,kb,0.0,kb,0.0,kb,1
conv1,5.3145999999999995,ms,21.236500000000003,ms,0.0,ms,0,ms,1176.0,kb,5880.0,kb,0.0,kb,0.0,kb,1
bn1,0.37760000000000005,ms,1.1759,ms,0.0,ms,0,ms,1176.0,kb,5884.0,kb,0.0,kb,0.0,kb,1
relu,1.236,ms,2.4488000000000003,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,2
conv2,7.9311,ms,31.714399999999998,ms,0.0,ms,0,ms,1176.0,kb,5880.0,kb,0.0,kb,0.0,kb,1
bn2,0.513,ms,1.5769000000000002,ms,0.0,ms,0,ms,1176.0,kb,5884.0,kb,0.0,kb,0.0,kb,1
0,1.9607999999999999,ms,7.8244,ms,0.0,ms,0,ms,1176.0,kb,5880.0,kb,0.0,kb,0.0,kb,1
1,0.34530000000000005,ms,1.0571000000000002,ms,0.0,ms,0,ms,1176.0,kb,5884.0,kb,0.0,kb,0.0,kb,1
conv1,7.7014,ms,30.7906,ms,0.0,ms,0,ms,1176.0,kb,5880.0,kb,0.0,kb,0.0,kb,1
bn1,0.393,ms,1.2213000000000003,ms,0.0,ms,0,ms,1176.0,kb,5884.0,kb,0.0,kb,0.0,kb,1
relu,1.0979,ms,2.172,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,2
conv2,7.697,ms,30.7745,ms,0.0,ms,0,ms,1176.0,kb,5880.0,kb,0.0,kb,0.0,kb,1
bn2,0.36769999999999997,ms,1.1221,ms,0.0,ms,0,ms,1176.0,kb,5884.0,kb,0.0,kb,0.0,kb,1
conv1,5.3326,ms,21.3155,ms,0.0,ms,0,ms,588.0,kb,2940.0,kb,0.0,kb,0.0,kb,1
bn1,0.1433,ms,0.4388,ms,0.0,ms,0,ms,588.0,kb,2948.0,kb,0.0,kb,0.0,kb,1
relu,0.4619,ms,0.9017999999999999,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,2
conv2,5.524400000000001,ms,22.075500000000005,ms,0.0,ms,0,ms,588.0,kb,2940.0,kb,0.0,kb,0.0,kb,1
bn2,0.12030000000000002,ms,0.3646,ms,0.0,ms,0,ms,588.0,kb,2948.0,kb,0.0,kb,0.0,kb,1
0,1.3204,ms,5.2606,ms,0.0,ms,0,ms,588.0,kb,2940.0,kb,0.0,kb,0.0,kb,1
1,0.13909999999999997,ms,0.4209,ms,0.0,ms,0,ms,588.0,kb,2948.0,kb,0.0,kb,0.0,kb,1
conv1,5.4052,ms,21.5993,ms,0.0,ms,0,ms,588.0,kb,2940.0,kb,0.0,kb,0.0,kb,1
bn1,0.1181,ms,0.3599,ms,0.0,ms,0,ms,588.0,kb,2948.0,kb,0.0,kb,0.0,kb,1
relu,0.4756,ms,0.9307000000000001,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,2
conv2,5.273200000000001,ms,21.0721,ms,0.0,ms,0,ms,588.0,kb,2940.0,kb,0.0,kb,0.0,kb,1
bn2,0.1244,ms,0.3793,ms,0.0,ms,0,ms,588.0,kb,2948.0,kb,0.0,kb,0.0,kb,1
avgpool,0.1965,ms,0.5835000000000001,ms,0.0,ms,0,ms,12.0,kb,48.0078125,kb,0.0,kb,0.0,kb,1
fc,0.1481,ms,0.3049,ms,0.0,ms,0,ms,0.09375,kb,0.1875,kb,0.0,kb,0.0,kb,1
